ThetaR  ThetaS   Alpha    n lambda    Ks
0.0445 0.5831 0.0141 1.6154 0.1378 37.9944
0.0459 0.5738 0.0131 1.6180 0.2196 35.0720
0.0474 0.5644 0.0122 1.6202 0.2873 32.3527
0.0491 0.5551 0.0114 1.6220 0.3385 29.8325
0.0508 0.5460 0.0107 1.6233 0.3727 27.5036
0.0526 0.5373 0.0101 1.6241 0.3906 25.3583
0.0545 0.5290 0.0096 1.6244 0.3942 23.3884
0.0565 0.5214 0.0092 1.6241 0.3858 21.5859
0.0585 0.5144 0.0089 1.6233 0.3686 19.9411
0.0606 0.5080 0.0086 1.6221 0.3453 18.4438
0.0626 0.5022 0.0083 1.6205 0.3185 17.0840
0.0647 0.4971 0.0081 1.6184 0.2900 15.8497
0.0666 0.4924 0.0079 1.6160 0.2609 14.7316
0.0685 0.4884 0.0078 1.6133 0.2322 13.7199
0.0704 0.4848 0.0076 1.6102 0.2042 12.8074
0.0721 0.4817 0.0075 1.6069 0.1773 11.9870
0.0737 0.4791 0.0075 1.6032 0.1516 11.2533
0.0753 0.4770 0.0074 1.5993 0.1273 10.6018
0.0768 0.4752 0.0074 1.5951 0.1042 10.0293
0.0782 0.4739 0.0073 1.5907 0.0823 9.5324
0.0795 0.4729 0.0073 1.5859 0.0614 9.1090
0.0807 0.4724 0.0073 1.5809 0.0412 8.7569
0.0819 0.4721 0.0074 1.5757 0.0216 8.4736
0.0830 0.4722 0.0074 1.5701 0.0021 8.2564
0.0841 0.4726 0.0075 1.5643 -0.0174 8.1014
0.0851 0.4733 0.0076 1.5583 -0.0373 8.0050
0.0861 0.4743 0.0077 1.5519 -0.0580 7.9638
0.0872 0.4756 0.0078 1.5453 -0.0796 7.9730
0.0882 0.4771 0.0080 1.5384 -0.1025 8.0251
0.0892 0.4789 0.0081 1.5312 -0.1270 8.1077
0.0902 0.4809 0.0083 1.5238 -0.1531 8.2101
0.0913 0.4831 0.0085 1.5161 -0.1810 8.3282
0.0923 0.4854 0.0088 1.5081 -0.2107 8.4616
0.0934 0.4879 0.0091 1.4999 -0.2422 8.6109
0.0944 0.4905 0.0093 1.4916 -0.2754 8.7793
0.0955 0.4931 0.0096 1.4830 -0.3103 8.9735
0.0965 0.4957 0.0100 1.4743 -0.3468 9.2009
0.0976 0.4983 0.0103 1.4655 -0.3847 9.4622
0.0986 0.5009 0.0106 1.4567 -0.4239 9.7492
0.0997 0.5034 0.0109 1.4478 -0.4643 10.0519
0.1007 0.5058 0.0113 1.4389 -0.5058 10.3638
0.1017 0.5080 0.0116 1.4298 -0.5480 10.6837
* End of File
